LATITUDE,LONGITUDE
40.849667,-73.90802
40.839478,-73.883896
40.816864,-73.882744
40.63063,-74.00923
40.595985,-73.96264
40.70953,-74.00842
40.84434,-73.91475
40.7879,-73.95368
40.68864,-73.920555
40.713436,-73.91467
40.73736,-73.934074
40.742256,-73.97768
40.629543,-73.96608
40.663685,-73.803085
40.632366,-73.987724
40.72224,-73.9863
40.73908,-74.00309
40.583668,-73.94843
40.764923,-73.88663
40.796738,-73.92925
40.671597,-73.88018
40.746902,-73.834694
40.68306,-73.973785
40.6076,-74.13491
40.675655,-73.89811
40.605766,-73.99705
40.704823,-74.006905
40.802868,-73.93987
40.753304,-73.912575
40.76051,-73.82914
40.60485,-73.74822
40.641396,-73.98908
40.792854,-73.96753
40.77139,-73.95044
40.691666,-73.76239
40.682266,-73.78781
40.585342,-73.94157
40.703316,-74.007774
40.77226,-73.92591
40.858433,-73.885124
40.734276,-73.84512
40.69822,-73.943954
40.57747,-73.83693
40.715446,-74.0019
40.76154,-73.9556
40.84525,-73.91499
40.809566,-73.90301
40.593052,-73.99627
40.811638,-73.9316
40.60507,-73.97913
40.84487,-73.92068
40.744026,-73.92616
40.760136,-73.770035
40.7366,-73.93414
40.783333,-73.94368
40.81423,-73.93444
40.765324,-73.816185
40.644672,-74.08718
40.816956,-73.921135
40.8096,-73.90302
40.725582,-73.93584
40.71015,-73.8407
40.711746,-74.006996
40.7542,-73.813354
40.707203,-73.79488
40.85609,-73.88612
40.824924,-73.86985
40.742874,-73.933945
40.682106,-73.84584
40.741898,-73.99353
40.82406,-73.92815
40.69812,-73.921165
0.0,0.0
40.70841,-73.80328
40.75537,-73.98746
40.585136,-73.95918
40.65732,-73.874596
40.734215,-73.98343
40.58391,-73.93859
40.72743,-73.925545
40.71512,-73.77358
40.870796,-73.90576
40.765354,-73.81733
40.8617,-73.89139
40.882374,-73.88642
40.686817,-73.97821
40.7042,-73.918144
40.65965,-73.764824
40.817875,-73.89333
40.655827,-73.943214
40.59968,-73.73859
40.680897,-73.944824
40.797485,-73.93896
40.76817,-73.9528
40.641167,-74.11351
40.806477,-73.908455
40.73978,-73.97952
40.57917,-74.10106
40.814224,-73.82174
40.704403,-73.929565
40.74668,-73.90072
40.733433,-73.9955
40.69657,-73.95844
40.62615,-74.15741
40.62707,-74.01865
40.748802,-73.975716
40.618427,-73.956245
40.69496,-73.98717
40.70404,-73.95147
40.721447,-73.997406
40.631275,-73.97606
40.829697,-73.91313
40.70725,-73.958466
40.73883,-73.983154
40.65249,-73.95267
40.8344,-73.823204
40.881992,-73.87718
40.629425,-73.99795
40.663906,-73.95098
40.740616,-73.81721
40.811108,-73.92734
40.757008,-73.96388
40.82929,-73.91642
40.86028,-73.89405
40.647694,-73.98037
40.763573,-73.99695
40.616653,-73.97234
40.836178,-73.884254
40.75748,-73.98832
40.58375,-73.92345
40.631104,-73.9962
40.580208,-74.09975
40.846733,-73.90649
40.902508,-73.85118
40.70504,-73.95919
40.695156,-73.89862
40.69239,-73.85714
40.87787,-73.8701
40.75802,-73.98574
40.73603,-73.99781
40.696743,-73.95702
40.596096,-73.76976
40.837673,-73.86548
40.795403,-73.94188
40.719517,-73.994385
40.76552,-73.98004
40.61462,-73.968666
40.649715,-73.95099
40.74321,-73.99357
40.75333,-73.70682
40.689518,-73.856125
40.58124,-74.09845
40.608852,-74.15334
40.803024,-73.93632
40.77402,-73.95456
40.81014,-73.908226
40.593124,-73.79147
40.812717,-73.95674
40.713608,-73.91288
40.850456,-73.899315
40.61462,-73.968666
40.70052,-73.813995
40.75829,-73.83431
40.77496,-73.913704
40.57694,-73.98186
40.759754,-73.78569
40.7478,-73.88243
40.74644,-73.87982
40.71991,-73.809044
40.6709,-73.73531
